1;1;1;1;1;1;1
1;1;1;1;1;1;1
1.035;1.052;1.045;1.049;0.988;0.886;0.944
1.036;1.023;1.025;1.03;1.025;0.967;0.893
1.07;1.037;0.993;0.995;1.066;0.936;0.903
