0.0505;0.0566;0.0605;0.0600;0.0594;0.0565;0.0538;0.0532;0.0515;0.0457;0.0462;0.0379;0.0259;0.0251;0.0235;0.0260;0.0296;0.0283;0.0299;0.0344;0.0331;0.0342;0.0353;0.0430
0.0548;0.0573;0.0589;0.0589;0.0569;0.0528;0.0501;0.0474;0.0463;0.0415;0.0422;0.0398;0.0346;0.0306;0.0328;0.0288;0.0285;0.0300;0.0304;0.0307;0.0326;0.0332;0.0352;0.0458
0.0551;0.0586;0.0586;0.0584;0.0571;0.0536;0.0476;0.0470;0.0460;0.0418;0.0418;0.0414;0.0370;0.0313;0.0323;0.0295;0.0284;0.0288;0.0292;0.0306;0.0315;0.0319;0.0357;0.0468
0.0615;0.0623;0.0613;0.0585;0.0574;0.0533;0.0484;0.0492;0.0469;0.0437;0.0431;0.0400;0.0341;0.0280;0.0269;0.0272;0.0283;0.0278;0.0282;0.0284;0.0292;0.0298;0.0361;0.0504
0.0624;0.0646;0.0612;0.0576;0.0543;0.0503;0.0467;0.0459;0.0457;0.0451;0.0443;0.0424;0.0357;0.0291;0.0269;0.0266;0.0276;0.0273;0.0283;0.0295;0.0299;0.0320;0.0361;0.0503
0.0670;0.0698;0.0615;0.0549;0.0515;0.0475;0.0434;0.0420;0.0409;0.0414;0.0431;0.0401;0.0365;0.0300;0.0274;0.0258;0.0276;0.0280;0.0297;0.0327;0.0326;0.0344;0.0395;0.0529
0.0831;0.0693;0.0609;0.0498;0.0453;0.0408;0.0381;0.0331;0.0322;0.0317;0.0307;0.0352;0.0392;0.0342;0.0327;0.0265;0.0232;0.0254;0.0278;0.0343;0.0360;0.0377;0.0569;0.0758
0.1000;0.0652;0.0510;0.0479;0.0357;0.0370;0.0311;0.0249;0.0265;0.0200;0.0221;0.0321;0.0434;0.0442;0.0325;0.0251;0.0267;0.0250;0.0270;0.0278;0.0343;0.0440;0.0804;0.0961
0.0948;0.0405;0.0403;0.0530;0.0464;0.0344;0.0210;0.0209;0.0234;0.0130;0.0142;0.0173;0.0420;0.0438;0.0254;0.0247;0.0237;0.0179;0.0234;0.0297;0.0312;0.0410;0.1487;0.1293
0.0934;0.0398;0.0401;0.0490;0.0465;0.0334;0.0199;0.0191;0.0214;0.0114;0.0135;0.0157;0.0416;0.0426;0.0258;0.0240;0.0214;0.0167;0.0225;0.0309;0.0325;0.0419;0.1608;0.1361
