0.0574;0.0612;0.0475;0.0443;0.0438;0.0418;0.0425;0.0431;0.0442;0.0453;0.0425;0.0331;0.0331;0.0318;0.0337;0.0339;0.0363;0.0309;0.0330;0.0358;0.0455;0.0433;0.0459;0.0501
0.0550;0.0557;0.0478;0.0453;0.0447;0.0426;0.0429;0.0427;0.0438;0.0426;0.0405;0.0357;0.0339;0.0345;0.0363;0.0325;0.0364;0.0339;0.0359;0.0366;0.0444;0.0430;0.0436;0.0499
0.0553;0.0538;0.0494;0.0477;0.0470;0.0446;0.0445;0.0438;0.0446;0.0425;0.0424;0.0365;0.0356;0.0351;0.0323;0.0338;0.0333;0.0315;0.0317;0.0334;0.0402;0.0432;0.0468;0.0510
0.0540;0.0533;0.0502;0.0475;0.0456;0.0444;0.0431;0.0417;0.0419;0.0400;0.0404;0.0396;0.0386;0.0377;0.0344;0.0320;0.0328;0.0346;0.0350;0.0343;0.0393;0.0432;0.0448;0.0518
0.0559;0.0539;0.0515;0.0482;0.0466;0.0444;0.0444;0.0429;0.0422;0.0397;0.0400;0.0379;0.0372;0.0366;0.0328;0.0302;0.0314;0.0329;0.0332;0.0333;0.0387;0.0458;0.0460;0.0543
0.0611;0.0589;0.0533;0.0494;0.0467;0.0443;0.0428;0.0422;0.0403;0.0385;0.0387;0.0370;0.0360;0.0351;0.0320;0.0278;0.0288;0.0292;0.0318;0.0318;0.0363;0.0461;0.0501;0.0619
0.0681;0.0597;0.0524;0.0491;0.0457;0.0422;0.0403;0.0370;0.0372;0.0345;0.0365;0.0355;0.0345;0.0329;0.0314;0.0281;0.0257;0.0268;0.0310;0.0318;0.0357;0.0492;0.0577;0.0771
0.0685;0.0549;0.0475;0.0492;0.0484;0.0504;0.0434;0.0410;0.0337;0.0330;0.0375;0.0326;0.0322;0.0344;0.0313;0.0299;0.0293;0.0283;0.0335;0.0312;0.0310;0.0428;0.0523;0.0839
0.0759;0.0577;0.0470;0.0488;0.0476;0.0516;0.0427;0.0360;0.0306;0.0288;0.0343;0.0321;0.0319;0.0326;0.0307;0.0292;0.0268;0.0261;0.0325;0.0309;0.0303;0.0451;0.0596;0.0911
0.0838;0.0610;0.0469;0.0487;0.0472;0.0519;0.0408;0.0312;0.0278;0.0249;0.0313;0.0317;0.0302;0.0307;0.0297;0.0290;0.0238;0.0237;0.0317;0.0309;0.0296;0.0477;0.0673;0.0986
